stringency,precarity_-1SD,precarity_mean,precarity_+1SD
0.5,0.528686192056899,0.43430619205689913,0.33992619205689906
0.505,0.5282108347905495,0.43193379679054955,0.3356567587905495
0.51,0.5276939407372149,0.4295009887372149,0.3313080367372149
0.515,0.5271364002796622,0.4270086582796623,0.32688091627966226
0.52,0.5265390796487437,0.4244576716487437,0.3223762636487436
0.525,0.5259028215785241,0.42184887157852413,0.31779492157852407
0.53,0.5252284459436395,0.4191830779436395,0.3131377099436395
0.535,0.5245167503793661,0.4164610883793661,0.3084054263793661
0.54,0.5237685108848703,0.4136836788848703,0.3035988468848702
0.545,0.5229844824100942,0.4108516044100942,0.29871872641009417
0.55,0.5221653994267236,0.4079655994267235,0.2937657994267235
0.555,0.5213119764836662,0.4050263784836663,0.28874078048366625
0.56,0.5204249087474646,0.40203463674746454,0.2836443647474645
0.5650000000000001,0.519504872528047,0.39899105052804695,0.2784772285280468
0.5700000000000001,0.5185525257902212,0.3958962777902212,0.2732400297902211
0.5750000000000001,0.5175685086512901,0.39275095865129006,0.26793340865129
0.58,0.5165534438651715,0.38955571586517157,0.26255798786517154
0.585,0.5155079372933865,0.3863111552933865,0.2571143732933865
0.59,0.5144325783632686,0.3830178663632686,0.25160315436326863
0.595,0.5133279405137487,0.3796764225137488,0.2460249045137488
0.6,0.5121945816290446,0.3762873816290447,0.24038018162904468
0.605,0.5110330444605876,0.37285128646058757,0.23466952846058753
0.61,0.5098438570375038,0.3693686650375038,0.2288934730375038
0.615,0.5086275330659618,0.36584003106596175,0.22305252906596174
0.62,0.5073845723176873,0.36226588431768736,0.2171471963176873
0.625,0.5061154610079396,0.35864671100793954,0.21117796100793956
0.63,0.5048206721632342,0.3549829841632342,0.20514529616323424
0.635,0.5035006659790926,0.3512751639790926,0.19904966197909252
0.64,0.5021558901680867,0.3475236981680867,0.1928915061680867
0.645,0.5007867802984423,0.34372902229844227,0.18667126429844222
0.65,0.4993937601234594,0.33989156012345934,0.1803893601234593
0.655,0.4979772419019949,0.3360117239019948,0.17404620590199477
0.66,0.49653762671025325,0.33208991471025323,0.1676422027102531
0.665,0.4950753047451198,0.32812652274511983,0.16117774074511976
0.67,0.4935906556192655,0.32412192761926556,0.15465319961926544
0.675,0.4920840486482469,0.3200764986482469,0.14806894864824682
0.68,0.4905558431298189,0.3159905951298188,0.1414253471298188
0.685,0.4890063886156707,0.31186456661567075,0.1347227446156707
0.6900000000000001,0.4874360251757912,0.30769875317579115,0.12796148117579098
0.6950000000000001,0.48584508365566254,0.30349348565566253,0.12114188765566247
0.7000000000000001,0.4842338859264786,0.29924908592647853,0.11426428592647841
0.705,0.4826027451285744,0.29496586712857437,0.10732898912857436
0.71,0.4809519659082543,0.29064413390825433,0.10033630190825427
0.715,0.47928184464819507,0.2862841826481951,0.09328652064819509
0.72,0.4775926696915989,0.28188630169159895,0.08617993369159893
0.725,0.4758847215602673,0.2774507715602673,0.07901682156026724
0.73,0.47415827316675896,0.272977865166759,0.071797457166759
0.735,0.47241359002079275,0.26846784802079277,0.06452210602079267
0.74,0.4706509304300518,0.26392097843005186,0.057191026430051806
0.745,0.46887054569554176,0.25933750769554176,0.04980446969554175
0.75,0.4670726803016486,0.25471768030164865,0.04236268030164858
0.755,0.4652575721010414,0.25006173410104143,0.034865896101041405
0.76,0.46342545249456063,0.2453699004945606,0.027314348494560603
0.765,0.46157654660622527,0.24064240460622532,0.01970826260622527
0.77,0.4597110734534935,0.23587946545349348,0.01204785745349346
0.775,0.4578292461129059,0.23108129611290584,0.0043333461129058115
0.78,0.45593127188123406,0.226248103881234,-0.0034350641187660402
