path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
BSE<-intensity|no_sacrifice,800,0.07753995743398714,0.06433771628655947,-0.01320224114742767,-17.026371414373035,0.23349411991524827,0.233354050939471,0.23053431521152087,0.944,0.056
BSE<-intensity|no_sacrifice,1200,0.07753995743398714,0.04880655324961701,-0.028733404184370134,-37.05625478123516,0.18431713818508638,0.18224605939511546,0.18818572945642517,0.95,0.052
BSE<-intensity|no_sacrifice,1600,0.07753995743398714,0.04703184772511661,-0.030508109708870537,-39.345017353729986,0.1687192477688342,0.16610424754284986,0.16287190891068462,0.942,0.054
BSE<-intensity|no_sacrifice,2400,0.07753995743398714,0.051223768207024276,-0.02631618922696287,-33.93887499748436,0.1352544910955347,0.13280251715690172,0.1328301724221833,0.942,0.052
CDC<-CS,200,-0.19101877228924197,-0.1938977096624382,-0.002878937373196222,-1.5071489250395993,0.0724673987996878,0.07248270893518932,0.07348503039943756,0.956,0.738
CDC<-CS,400,-0.19101877228924197,-0.19290764414751313,-0.0018888718582711628,-0.9888409582075689,0.05228944751613821,0.05230765399038614,0.05136375593319991,0.952,0.956
CDC<-CS,800,-0.19101877228924197,-0.19111577028815963,-9.699799891765837e-05,-0.050779301821852106,0.03491939592561502,0.03495423293391032,0.036205544454452745,0.96,1.0
CDC<-CS,1200,-0.19101877228924197,-0.19344983628019555,-0.0024310639909535803,-1.2726832875146528,0.028486003708170348,0.028410502431858626,0.029516740619896065,0.958,1.0
CDC<-CS,1600,-0.19101877228924197,-0.191540777429243,-0.0005220051400010306,-0.2732742618656736,0.025628796027489322,0.025649141376646183,0.025573024148933986,0.956,1.0
CDC<-CS,2400,-0.19101877228924197,-0.19262092849987747,-0.0016021562106355025,-0.8387428059694148,0.020388262549672524,0.02034557027292581,0.02086633640905486,0.966,1.0
CDC<-CS:community,200,-0.10761035507759038,-0.10197545411887919,0.005634900958711192,5.236392868136055,0.06559030380966187,0.06541325272675137,0.06507858311301487,0.942,0.356
CDC<-CS:community,400,-0.10761035507759038,-0.10830634341665589,-0.0006959883390655064,-0.6467670686126903,0.04603719868570595,0.046078038525177105,0.045478844630731076,0.952,0.668
CDC<-CS:community,800,-0.10761035507759038,-0.11003236300612289,-0.0024220079285325047,-2.250720134473727,0.0314556723480855,0.03139369887608788,0.03194539073557416,0.956,0.922
CDC<-CS:community,1200,-0.10761035507759038,-0.1057490219071103,0.0018613331704800812,1.7296970808438514,0.025948086977888325,0.02590716153263194,0.025967895894144027,0.942,0.986
CDC<-CS:community,1600,-0.10761035507759038,-0.10711560527176506,0.0004947498058253258,0.4597604063883985,0.02128407462137964,0.021299633891828856,0.022447849539945608,0.964,1.0
CDC<-CS:community,2400,-0.10761035507759038,-0.10634794543333051,0.0012624096442598737,1.1731302655194344,0.018690399761618397,0.018666393160072393,0.01832932619638528,0.94,1.0
CE<-locus,200,0.6626838381835466,0.667567593436206,0.004883755252659383,0.7369661022726403,0.11896580946020743,0.11898456794884978,0.12784297021879013,0.962,1.0
CE<-locus,400,0.6626838381835466,0.6634469157801702,0.0007630775966236403,0.11514957098005092,0.0836626744185132,0.08374297926747568,0.0899333452802002,0.974,1.0
CE<-locus,800,0.6626838381835466,0.6626240445216599,-5.979366188668678e-05,-0.009022954603886872,0.060970484014963675,0.06103151675825011,0.0634268202294551,0.958,1.0
CE<-locus,1200,0.6626838381835466,0.6674233507294518,0.004739512545905211,0.7151996582396408,0.04640984406284516,0.046213439720349574,0.051724806310352686,0.98,1.0
CE<-locus,1600,0.6626838381835466,0.6651008455568285,0.0024170073732818764,0.36473009209088025,0.04200209058431531,0.041974485150121435,0.04478830522489453,0.978,1.0
CE<-locus,2400,0.6626838381835466,0.664399775201514,0.0017159370179674616,0.2589375082193571,0.03541704781676929,0.035410883886185233,0.036554195916399475,0.96,1.0
CE<-locus:collectivism,200,0.219272652183856,0.21640345962493182,-0.0028691925589241773,-1.3085045172461034,0.08828591444542819,0.08832765122807362,0.0870089662615799,0.948,0.718
CE<-locus:collectivism,400,0.219272652183856,0.22124382570564383,0.001971173521787828,0.8989600399989901,0.05869582170394265,0.05872146439940381,0.06050888699999364,0.956,0.952
CE<-locus:collectivism,800,0.219272652183856,0.21878306071482645,-0.0004895914690295489,-0.22327976797434948,0.04188433890170932,0.041923421759330615,0.042665083861352954,0.95,0.998
CE<-locus:collectivism,1200,0.219272652183856,0.2173913185750918,-0.0018813336087641908,-0.857988258005904,0.03326682078882219,0.033246844279679555,0.03473737637361537,0.95,1.0
CE<-locus:collectivism,1600,0.219272652183856,0.21892654941046305,-0.0003461027733929478,-0.15784128569812195,0.03174871183895148,0.03177861981990949,0.03007421006492267,0.938,1.0
CE<-locus:collectivism,2400,0.219272652183856,0.21888034926615552,-0.0003923029177004822,-0.1789110104664372,0.023567455779047477,0.02358779001928986,0.024574606651908054,0.956,1.0
